original_id,tower_id,mean_x,mean_y,std_x,std_y,perc_10_x,perc_10_y,perc_50_x,perc_50_y,perc_90_x,perc_90_y,perc_99_x,perc_99_y
1572553,228,210091,529996,11,7,210081,529995,210098,529995,210098,529998,210098,530029
1572564,229,204751,530114,7,4,204735,530106,204753,530115,204758,530115,204763,530124
1572575,230,157952,480919,14,4,157943,480919,157943,480919,157971,480928,157985,480928
1572586,231,151065,480857,9,5,151057,480847,151062,480859,151079,480859,151105,480877
1572597,232,157476,484396,20,9,157448,484380,157489,484399,157489,484399,157489,484414
1572609,233,241048,651385,0,0,241048,651385,241048,651385,241048,651385,241048,651385
1572621,234,240667,651385,0,0,240667,651385,240667,651385,240667,651385,240667,651385
1572633,235,240836,651554,0,0,240836,651554,240836,651554,240836,651554,240836,651554
1572645,236,239397,650496,0,0,239397,650496,239397,650496,239397,650496,239397,650496
1572657,237,239397,650496,0,0,239397,650496,239397,650496,239397,650496,239397,650496
1572669,238,239397,650496,0,0,239397,650496,239397,650496,239397,650496,239397,650496
1572681,239,239397,650496,0,0,239397,650496,239397,650496,239397,650496,239397,650496
1572692,240,258803,681787,0,2,258803,681783,258803,681789,258803,681789,258803,681789
1572703,241,204858,853839,1,5,204856,853828,204859,853841,204859,853841,204859,853850
1572715,242,243283,662129,0,0,243283,662129,243283,662129,243283,662129,243283,662129
1572727,243,243122,661714,0,0,243122,661714,243122,661714,243122,661714,243122,661714
1572739,244,243596,661773,0,0,243596,661773,243596,661773,243596,661773,243596,661773
1572751,245,243085,659816,0,0,243085,659816,243085,659816,243085,659816,243085,659816
1572763,246,244043,659351,0,0,244043,659351,244043,659351,244043,659351,244043,659351
1572775,247,243995,660384,0,0,243995,660384,243995,660384,243995,660384,243995,660384
1572787,248,246678,653353,0,0,246678,653353,246678,653353,246678,653353,246678,653353
1572799,249,246559,653010,0,0,246559,653010,246559,653010,246559,653010,246559,653010
1572811,250,247012,652824,0,0,247012,652824,247012,652824,247012,652824,247012,652824
1572822,251,322579,893213,211,116,322449,893158,322449,893158,322999,893472,322999,893483
1572833,252,327198,890575,34,109,327183,890370,327183,890644,327269,890644,327286,890644
1572844,253,322198,886018,237,187,321823,885717,322351,886139,322351,886139,322351,886139
1572856,254,248147,648316,0,0,248147,648316,248147,648316,248147,648316,248147,648316
1572868,255,246103,647514,1,3,246103,647511,246103,647516,246106,647516,246107,647516
1572880,256,246777,649769,0,0,246777,649769,246777,649769,246777,649769,246777,649769
1572892,257,241937,650369,0,0,241937,650369,241937,650369,241937,650369,241937,650369
1572903,258,296934,872467,7,11,296928,872464,296932,872466,296952,872485,296957,872496
1572914,259,297333,868702,3,2,297328,868702,297334,868702,297339,868709,297339,868709
1572938,260,238889,650115,0,0,238889,650115,238889,650115,238889,650115,238889,650115
1572962,261,240370,651046,0,0,240370,651046,240370,651046,240370,651046,240370,651046
1572974,262,240032,651226,0,0,240032,651226,240032,651226,240032,651226,240032,651226
1572986,263,240349,651258,0,0,240349,651258,240349,651258,240349,651258,240349,651258
