eovx,eovy,num
89156,617730,97
249303,637923,68
146433,516257,86
233047,638050,26
192407,519686,96
231269,638558,12
109349,527052,125
250446,508764,54
92204,643511,3
91061,642876,0
244350,842266,0
243969,843536,6
247144,841504,6
245112,842012,0
323979,875667,0
165991,744730,7
302770,777496,16
303659,776607,0
66804,578487,123
124716,632335,41
180596,638304,40
109857,602998,90
240667,613666,36
177421,601093,222
175516,629541,74
254637,638177,48
173103,527052,50
281053,880874,0
175135,698883,40
283847,749302,0
284355,750064,0
310263,773305,13
310517,771400,0
175008,698248,6
175135,697740,0
282831,749556,0
284101,748413,0
175135,699518,0
284736,749556,0
264670,645162,41
215013,634113,35
293880,842266,6
289689,852172,0
242826,847092,0
245112,846711,0
288927,748921,3
243334,845568,22
291340,849124,0
103634,731776,0
204472,735586,0
291594,851410,1
137416,557151,22
154815,494794,79
272163,627001,78
248414,655068,0
203710,737110,0
149862,806452,10
253367,656719,0
222760,655322,0
149227,808230,13
226062,662053,0
256669,668149,0
150751,807976,18
149481,806071,0
100713,736729,4
149735,805690,3
150370,805309,0
150751,806706,10
298198,851283,0
150751,807214,0
299722,850775,0
224284,655322,8
251970,654560,0
243334,844298,2
295531,850267,0
252478,839980,15
101221,736348,0
100713,735586,15
257431,652020,59
115699,620016,57
105666,584583,29
203710,735586,0
292610,847854,4
248795,846076,0
221617,643765,0
248160,845568,0
293753,851156,0
245620,842520,0
293499,848362,0
309374,779655,0
220474,647194,0
310009,779401,0
293880,850902,0
308104,780417,6
246382,847981,2
314581,893320,9
203964,735332,0
203329,736094,0
220474,651639,30
246382,842647,0
218823,644908,0
246382,845568,0
294642,847727,0
299341,909322,4
104142,600585,83
97665,617222,64
292483,848997,3
73916,612904,30
259717,520829,46
308993,777369,0
295658,849759,9
101602,732284,7
287149,748921,0
295531,848997,0
244604,845822,0
244731,842520,0
307596,772416,10
307215,773305,0
152656,643511,88
249176,842266,0
245747,846076,4
248668,842901,0
221744,652274,0
222760,653417,0
100078,733935,0
269115,527941,267
235841,638812,21
187581,591060,38
171833,575566,163
284482,748667,0
197487,496953,52
139067,600458,43
102872,732538,8
100586,734697,0
294769,848743,1
237492,594743,112
103253,733808,6
201551,481205,134
128780,614555,112
172087,547118,20
213235,506605,83
245747,666371,0
244477,664974,0
243715,665863,0
238381,665990,0
242953,667260,2
250573,672467,0
237365,667895,0
248922,844044,0
252605,514733,14
188343,483872,118
137543,511812,144
284482,749048,0
246763,845060,2
307596,773813,10
293245,849251,6
307977,775845,0
222887,649861,23
114683,631573,65
140972,570359,113
260098,629033,115
195455,565025,23
294642,849505,0
295531,849505,0
223268,645035,0
237111,677039,7
225046,653671,14
239143,665863,0
221998,648718,0
257431,528068,46
119636,550928,287
111127,623318,83
82171,619381,28
144401,636780,10
101475,733554,0
101983,733046,7
100840,734062,4
180596,476887,5
219331,507113,49
282872,774566,141
245112,843790,0
174119,699010,0
244604,662688,0
245239,845822,0
307977,776607,0
307469,780163,0
308231,778893,0
307596,775337,0
99316,520448,26
247398,844552,0
231650,664339,0
245747,844044,1
294388,848235,2
227078,640971,27
99316,732792,4
224284,641606,1
307850,779401,0
245620,843282,0
268734,612396,45
232412,614555,64
114683,546356,287
168912,482602,52
148465,621159,9
204472,738507,0
227840,548388,37
249049,651385,0
234698,662561,0
221871,514733,52
164340,605665,60
267083,609348,86
206631,590425,28
217172,557151,70
187962,508764,31
185549,554230,80
72392,621540,93
273433,626747,20
183009,589536,165
84203,549785,18
214886,651639,8
250700,650369,7
246890,641606,14
247652,653925,15
249430,650623,15
249684,647956,46
238508,670562,25
247779,844679,0
234698,663831,0
308358,771273,0
101475,734697,6
247779,844171,0
245366,844171,0
246636,843663,0
293499,849886,0
246763,844171,0
307469,779782,10
235841,664593,0
294261,849124,2
248414,843663,1
102872,733427,0
229110,667768,2
252351,637923,37
244350,663450,0
308485,778512,0
247017,843028,6
229745,639193,5
246255,843282,2
102237,735078,4
247398,843663,0
308612,779020,0
173357,698883,0
237492,664339,0
247525,843155,2
245747,844552,1
240286,640844,77
307596,774702,0
292991,850140,0
246128,843790,0
233174,632843,8
307977,778258,0
232793,625858,1
101221,734824,9
241937,641225,35
173230,698502,0
235714,634113,37
102364,735586,0
225935,586869,20
171452,502414,90
170055,479173,13
193804,564771,27
261876,543435,0
128653,600712,201
75948,594870,32
173738,510415,60
171452,468378,84
97030,583694,151
263781,654306,49
197868,698883,53
139956,585599,40
142115,649861,9
206758,581535,30
224411,698248,39
169547,735586,18
305437,793117,49
195582,682881,130
311787,821184,46
309120,842901,46
127764,703836,0
261114,832995,0
152021,734189,0
204980,722759,0
276735,875032,0
111254,725807,81
224284,710313,55
211330,673737,0
150497,635891,10
162943,703455,0
214378,670943,57
131447,665482,0
178310,642368,81
109603,623064,6
177421,471426,14
181485,620016,52
306072,760732,0
238104,655608,206
288800,799467,0
289308,798324,0
277497,846965,117
219331,713234,28
136654,773813,0
170182,759208,0
177929,781433,0
170055,763907,0
254256,683262,0
169293,480697,39
203710,753112,0
137797,770384,0
230634,702439,0
216918,648845,0
213362,651512,0
210441,641352,0
194185,647067,0
138305,775337,0
311406,784608,44
220855,806071,44
165356,800102,0
300357,857887,0
120652,747651,0
295658,894209,0
169674,765050,0
202186,672340,0
210949,838202,0
285244,858776,0
120906,683516,0
273433,763653,0
119128,749048,0
312041,849632,0
254510,823470,0
229237,702566,0
121287,749429,0
216283,686945,0
210822,691644,0
335282,882906,2
119636,748032,0
235714,670435,5
247525,842393,0
337187,877699,5
230380,654687,741
248592,649500,160
303913,779655,0
150116,468251,43
168531,482094,99
169801,521718,37
137797,633605,41
249303,664974,0
232539,675388,5
228602,636526,9
187327,579630,0
204853,722505,0
237619,618873,146
235065,656754,106
227058,655054,315
238667,645877,105
244577,655638,148
245313,643023,204
246569,655653,122
229216,655242,220
245338,654743,276
232060,655102,122
232545,655132,75
236611,667466,96
237794,667394,113
245795,656049,232
229190,661071,118
229439,660499,139
229384,651020,187
210468,838507,208
249236,649117,499
250105,650219,326
251074,650382,182
250684,649967,257
250036,651715,302
249566,650746,340
162736,550622,187
189795,578416,185
187884,577546,39
187611,578958,43
160453,523517,98
179915,564064,104
187139,571208,171
183284,583334,54
303723,670445,903
300442,667828,129
240849,651567,120
243260,662021,124
243084,661599,88
243503,661764,148
243083,659812,202
247019,652881,327
242179,654862,97
242569,655357,509
182563,568236,112
216889,660416,286
240311,652966,92
240535,715008,274
268607,655949,338
250677,647401,518
239839,653447,205
244830,656741,407
248588,652862,238
242755,646485,250
242971,646831,187
237856,639530,216
173859,692096,352
179250,694454,196
232906,658991,326
244709,653841,265
255671,701342,312
225918,638435,531
236886,652108,244
218900,652475,387
236613,827089,205
263614,843603,226
263421,852143,232
234944,674587,362
230092,675828,1026
208733,740911,108
243861,646981,122
235323,652609,414
221591,648621,485
224333,651128,124
220732,647999,246
219478,646662,365
235825,646557,172
236244,646788,236
255499,651668,365
244032,649641,245
244354,649361,249
206596,600183,185
203859,603229,233
258096,672896,136
202018,743097,180
236297,682853,344
215464,651500,432
213670,654935,192
250202,640853,391
173733,571380,82
175956,572657,270
252718,656474,183
220840,655277,475
223292,654737,333
245816,652756,184
243470,655694,262
197140,646384,201
233275,636939,330
245368,843742,249
242467,660889,149
240031,851696,105
243073,647140,205
238595,844038,456
249459,646594,256
235714,650369,40
236071,668737,264
235745,669808,373
242293,658778,355
244785,664248,433
245274,665544,279
231663,650448,285
230278,651240,223
211524,659068,148
233297,643127,578
252476,650180,157
236518,650428,130
231406,655091,144
244533,646110,30
241741,660268,162
235630,648458,224
236216,649569,184
235848,649654,411
229616,647093,96
229937,646966,62
224256,653471,555
240077,657166,287
241989,648087,79
293235,849572,494
290848,851281,195
291448,849390,472
293446,848571,288
293639,850135,682
248486,664491,6
238229,648913,205
238257,648628,108
242862,652636,336
247660,655201,50
248027,655104,75
145418,743281,208
240540,651512,103
235342,654197,407
239864,651926,157
240049,652091,77
247376,637506,773
183490,705682,203
241679,651782,375
247398,843536,124
243678,661404,151
176008,577051,119
232070,647980,90
232702,654373,196
245543,841963,240
173778,571581,39
174007,572529,104
248205,653847,232
240997,648756,263
176251,556330,84
245291,649607,252
153611,533403,58
165540,533129,128
238762,650242,69
280980,636562,194
333548,876622,269
230603,656059,78
240603,651639,209
240413,654280,194
231888,660636,204
232039,662132,126
264654,652110,419
232762,669680,253
168624,481315,350
257449,696893,553
240803,846710,350
231424,649199,350
249120,650894,43
248883,650927,47
249035,651296,76
243420,643637,72
243769,644972,110
239181,651893,128
245156,649164,263
237404,658287,102
233681,649075,231
160563,544825,114
162224,546853,140
150771,712346,258
239040,647676,413
173549,476114,687
168893,482268,295
170087,483037,576
238117,660312,229
239079,659824,42
176179,685948,482
234691,656206,68
237560,649102,85
241362,646698,150
241531,646412,240
277611,653342,78
241936,655880,396
242457,650788,167
195732,563849,89
195441,563097,560
194597,563485,744
248240,654623,145
257135,667384,932
210141,617426,335
212117,624535,381
229479,668206,838
313071,890233,45
247837,826073,281
246340,662867,375
178268,734806,20
229509,651553,81
228513,651927,136
229713,652145,135
236458,668005,165
236799,669355,108
224292,679563,603
223842,682458,40
249247,652406,119
294146,849502,369
294852,849980,193
